1	COLT	Annual Conference on Computational Learning Theory	Springer	http://dblp.uni-trier.de/db/conf/colt/
2	EMNLP	Conference on Empirical Methods in Natural Language Processing	ACL	http://dblp.uni-trier.de/db/conf/emnlp/
3	ECAI	European Conference on Artificial Intelligence	IOS Press	http://dblp.uni-trier.de/db/conf/ecai/
4	ECCV	European Conference on Computer Vision	Springer	http://dblp.uni-trier.de/db/conf/eccv/
5	ICRA	IEEE International Conference on Robotics and Automation	IEEE	http://dblp.uni-trier.de/db/conf/icra/
6	ICAPS	International Conference on Automated Planning and Scheduling	AAAI	http://dblp.uni-trier.de/db/conf/aips/
7	ICCBR	International Conference on Case-Based Reasoning and Development	Springer	http://dblp.uni-trier.de/db/conf/iccbr/
8	COLING	International Conference on Computational Linguistics	ACM	http://dblp.uni-trier.de/db/conf/coling/
9	KR	International Conference on Principles of Knowledge Representation and Reasoning	Morgan Kaufmann	http://dblp.uni-trier.de/db/conf/kr/
10	UAI	International Conference on Uncertainty in Artificial Intelligence	AUAI	http://dblp.uni-trier.de/db/conf/uai/
11	AAMAS	International Joint Conference on Autonomous Agents and Multi-agent Systems	Springer	http://dblp.uni-trier.de/db/conf/atal/index.html
12	PPSN	Parallel Problem Solving from Nature	Springer	http://dblp.uni-trier.de/db/conf/ppsn/
