1	ACTA	Acta Informatica	Springer	http://dblp.uni-trier.de/db/journals/acta/
2	APAL	Annals of Pure and Applied Logic	Elsevier	http://dblp.uni-trier.de/db/journals/apal/
3	DAM	Discrete Applied Mathematics	Elsevier	http://dblp.uni-trier.de/db/journals/dam/
4	FUIN	Fundamenta Informaticae	IOS Press	http://dblp.uni-trier.de/db/journals/fuin/
5	LISP	Higher-Order and Symbolic Computation	Springer	http://dblp.uni-trier.de/db/journals/lisp/
6	IPL	Information Processing Letters	Elsevier	http://dblp.uni-trier.de/db/journals/ipl/
7	JCOMPLEXITY	Journal of Complexity	Elsevier	http://dblp.uni-trier.de/db/journals/jc/
8	LOGCOM	Journal of Logic and Computation	Oxford University Press	http://dblp.uni-trier.de/db/journals/logcom/
9	JSL	Journal of Symbolic Logic	Association for Symbolic Logic	http://dblp.uni-trier.de/db/journals/jsyml/
10	LMCS	Logical Methods in Computer Science	LMCS	http://dblp.uni-trier.de/db/journals/lmcs/
11	SIDMA	SIAM Journal on Discrete Mathematics	SIAM	http://dblp.uni-trier.de/db/journals/siamdm/
12		Theory of Computing Systems	Springer	http://dblp.uni-trier.de/db/journals/mst/
