1	CIKM	ACM International Conference on Information and Knowledge Management	ACM	http://dblp.uni-trier.de/db/conf/cikm/
2	WSDM	ACM International Conference on Web Search and Data Mining	ACM	http://dblp.uni-trier.de/db/conf/wsdm/
3	PODS	ACM Symposium on Principles of Database Systems	ACM	http://dblp.uni-trier.de/db/conf/pods/
4	DASFAA	Database Systems for Advanced Applications	Springer	http://dblp.uni-trier.de/db/conf/dasfaa/
5	ECML-PKDD	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Springer	http://dblp.uni-trier.de/db/conf/ecml/ http://dblp.uni-trier.de/db/conf/pkdd/
6	ISWC	IEEE International Semantic Web Conference	IEEE	http://dblp.uni-trier.de/db/conf/semweb/
7	ICDM	International Conference on Data Mining	IEEE	http://dblp.uni-trier.de/db/conf/icdm/
8	ICDT	International Conference on Database Theory	Springer	http://dblp.uni-trier.de/db/conf/icdt/
9	EDBT	International Conference on Extending DB Technology	Springer	http://dblp.uni-trier.de/db/conf/edbt/
10	CIDR	International Conference on Innovative Data Systems Research	Online Proceeding	http://dblp.uni-trier.de/db/conf/cidr/
11	SDM	SIAM International Conference on Data Mining	SIAM	http://dblp.uni-trier.de/db/conf/sdm/
