1	APWeb	Asia Pacific Web Conference	Springer	http://dblp.uni-trier.de/db/conf/apweb/
2	DEXA	Database and Expert System Applications	Springer	http://dblp.uni-trier.de/db/conf/dexa/
3	ECIR	European Conference on IR Research	Springer	http://dblp.uni-trier.de/db/conf/ecir/
4	ESWC	Extended Semantic Web Conference	Springer	http://dblp.uni-trier.de/db/conf/esws/
5	WebDB	International ACM Workshop on Web and Databases	ACM	http://dblp.uni-trier.de/db/conf/webdb/
6	ER	International Conference on Conceptual Modeling	Springer	http://dblp.uni-trier.de/db/conf/er/
7	MDM	International Conference on Mobile Data Management	IEEE	http://dblp.uni-trier.de/db/conf/mdm/
8	SSDBM	International Conference on Scientific and Statistical DB Management	IEEE	http://dblp.uni-trier.de/db/conf/ssdbm/
9	WAIM	International Conference on Web Age Information Management	Springer	http://dblp.uni-trier.de/db/conf/waim/
10	SSTD	International Symposium on Spatial and Temporal Databases	Springer	http://dblp.uni-trier.de/db/conf/ssd/
11	PAKDD	Pacific-Asia Conference on Knowledge Discovery and Data Mining	Springer	http://dblp.uni-trier.de/db/conf/pakdd/
12	WISE	Web Information Systems Engineering	Springer	http://dblp.uni-trier.de/db/conf/wise/
