1	TKDD	ACM Transactions on Knowledge Discovery from Data	ACM	http://dblp.uni-trier.de/db/journals/tkdd/
2	TWEB	ACM Transactions on the Web	ACM	http://dblp.uni-trier.de/db/journals/tweb/
3	AEI	Advanced Engineering Informatics	Elsevier	http://dblp.uni-trier.de/db/journals/aei/
4	DKE	Data and Knowledge Engineering	Elsevier	http://dblp.uni-trier.de/db/journals/dke/
5	DMKD	Data Mining and Knowledge Discovery	Springer	http://dblp.uni-trier.de/db/journals/datamine/
6	EJIS	European Journal of Information Systems	Springer	http://dblp.uni-trier.de/db/journals/ejis/
7		GeoInformatica	Springer	http://dblp.uni-trier.de/db/journals/geoinformatica/
8	IPM	Information Processing and Management	Elsevier	http://dblp.uni-trier.de/db/journals/ipm/
9		Information Sciences	Elsevier	http://dblp.uni-trier.de/db/journals/isci/
10	IS	Information Systems	Elsevier	http://dblp.uni-trier.de/db/journals/is/
11	JASIST	Journal of the American Society for Information Science and Technology	American Society for Information Science and Technology	http://dblp.uni-trier.de/db/journals/jasis/
12	JWS	Journal of Web Semantics	Elsevier	http://dblp.uni-trier.de/db/journals/ws/
13	KAIS	Knowledge and Information Systems	Springer	http://dblp.uni-trier.de/db/journals/kais/
