1	DPD	Distributed and Parallel Databases	Springer	http://dblp.uni-trier.de/db/journals/dpd/
2	I&M	Information and Management	Elsevier	http://dblp.uni-trier.de/db/journals/iam/
3	IPL	Information Processing Letters	Elsevier	http://dblp.uni-trier.de/db/journals/ipl/
4	IR	Information Retrieval Journal	Springer	http://dblp.uni-trier.de/db/journals/ir/
5	IJCIS	International Journal of Cooperative Information Systems	World Scientific	http://dblp.uni-trier.de/db/journals/ijcis/
6	IJGIS	International Journal of Geographical Information Science	Taylor & Francis	http://dblp.uni-trier.de/db/journals/gis/
7	IJIS	International Journal of Intelligent Systems	Wiley	http://dblp.uni-trier.de/db/journals/ijis/
8	IJKM	International Journal of Knowledge Management	IGI	http://dblp.uni-trier.de/db/journals/ijkm/
9	IJSWIS	International Journal on Semantic Web and Information Systems	IGI	http://dblp.uni-trier.de/db/journals/ijswis/
10	JCIS	Journal of Computer Information Systems	IACIS	http://dblp.uni-trier.de/db/journals/jcis/
11	JDM	Journal of Database Management	IGI-Global	http://dblp.uni-trier.de/db/journals/jdm/
12	JGITM	Journal of Global Information Technology Management	Ivy League Publishing	http://www.tandfonline.com/loi/ugit20#.Vnv35pN97rI
13	JIIS	Journal of Intelligent Information Systems	Springer	http://dblp.uni-trier.de/db/journals/jiis/
14	JSIS	Journal of Strategic Information Systems	Elsevier	http://dblp.uni-trier.de/db/journals/jsis/
