1	SenSys	ACM Conference on Embedded Networked Sensor Systems	ACM	http://dblp.uni-trier.de/db/conf/sensys/
2	CoNEXT	ACM International Conference on Emerging Networking Experiments and Technologies	ACM	http://dblp.uni-trier.de/db/conf/conext/
3	SECON	IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks	IEEE	http://dblp.uni-trier.de/db/conf/secon/
4	IPSN	International Conference on Information Processing in Sensor Networks	IEEE/ACM	http://dblp.uni-trier.de/db/conf/ipsn/
5	MobiSys	International Conference on Mobile Systems, Applications, and Services	ACM	http://dblp.uni-trier.de/db/conf/mobisys/
6	ICNP	International Conference on Network Protocols	IEEE	http://dblp.uni-trier.de/db/conf/icnp/
7	MobiHoc	International Symposium on Mobile Ad Hoc Networking and Computing	ACM/IEEE	http://dblp.uni-trier.de/db/conf/mobihoc/
8	NOSSDAV	International Workshop on Network and Operating System Support for Digital Audio and Video	ACM	http://dblp.uni-trier.de/db/conf/nossdav/
9	IWQoS	International Workshop on Quality of Service	IEEE	http://dblp.uni-trier.de/db/conf/iwqos/
10	IMC	Internet Measurement Conference	ACM/USENIX	http://dblp.uni-trier.de/db/conf/imc/
