1	ANCS	Architectures for Networking and Communications Systems	ACM/IEEE	http://dblp.uni-trier.de/db/conf/ancs/
2	APNOMS	Asia-Pacific Network Operations and Management Symposium	IFIP/IEEE	http://dblp.uni-trier.de/db/conf/apnoms/
3	FORTE	Formal Techniques for Networked and Distributed Systems	Springer	http://dblp.uni-trier.de/db/conf/forte/
4	LCN	IEEE Conference on Local Computer Networks	IEEE	http://dblp.uni-trier.de/db/conf/lcn/
5	GLOBECOM	IEEE Global Communications Conference	IEEE	http://dblp.uni-trier.de/db/conf/globecom/
6	ICC	IEEE International Conference on Communications	IEEE	http://dblp.uni-trier.de/db/conf/icc/
7	ICCCN	IEEE International Conference on Computer Communications and Networks	IEEE	http://dblp.uni-trier.de/db/conf/icccn/
8	MASS	IEEE International Conference on Mobile Ad-hoc and Sensor Systems	IEEE	http://dblp.uni-trier.de/db/conf/mass/index.html
9	P2P	IEEE International Conference on Peer-to-Peer Computing	IEEE	http://dblp.uni-trier.de/db/conf/p2p/
10	IPCCC	IEEE International Performance Computing and Communications Conference	IEEE	http://dblp.uni-trier.de/db/conf/ipccc/
11	WoWMoM	IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks	IEEE	http://dblp.uni-trier.de/db/conf/wowmom/
12	ISCC	IEEE Symposium on Computers and Communications	IEEE	http://dblp.uni-trier.de/db/conf/iscc/
13	WCNC	IEEE Wireless Communications & Networking Conference	IEEE	http://dblp.uni-trier.de/db/conf/wcnc/
14	Networking	IFIP International Conferences on Networking	IFIP	http://dblp.uni-trier.de/db/conf/networking/index.html
15	IM	IFIP/IEEE International Symposium on Integrated Network Management	IFIP/IEEE	http://dblp.uni-trier.de/db/conf/im/index.html
16	MSN	International Conference on Mobile Ad-hoc and Sensor Networks	IEEE	https://dblp.uni-trier.de/db/conf/msn/
17	MSWiM	International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems	ACM	http://dblp.uni-trier.de/db/conf/mswim/
18	WASA	International Conference on Wireless Algorithms, Systems, and Applications	Springer	http://dblp.uni-trier.de/db/conf/wasa/
19	HotNets	The Workshop on Hot Topics in Networks	ACM	http://dblp.uni-trier.de/db/conf/hotnets/
